"cowCode","CId","C3code","StateName"
2,840,"USA","United States of America"
20,124,"CAN","Canada"
31,0,"BHM","Bahamas"
40,192,"CUB","Cuba"
41,332,"HAI","Haiti"
42,214,"DOM","Dominican Republic"
51,388,"JAM","Jamaica"
52,780,"TRI","Trinidad and Tobago"
53,52,"BAR","Barbados"
54,212,"DMA","Dominica"
55,308,"GRN","Grenada"
56,0,"SLU","St. Lucia"
57,0,"SVG","St. Vincent and the Grenadines"
58,0,"AAB","Antigua & Barbuda"
60,0,"SKN","St. Kitts and Nevis"
70,484,"MEX","Mexico"
80,84,"BLZ","Belize"
90,320,"GUA","Guatemala"
91,340,"HON","Honduras"
92,222,"SAL","El Salvador"
93,558,"NIC","Nicaragua"
94,188,"COS","Costa Rica"
95,591,"PAN","Panama"
100,170,"COL","Colombia"
101,862,"VEN","Venezuela"
110,328,"GUY","Guyana"
115,740,"SUR","Suriname"
130,218,"ECU","Ecuador"
135,604,"PER","Peru"
140,76,"BRA","Brazil"
145,68,"BOL","Bolivia"
150,600,"PAR","Paraguay"
155,152,"CHL","Chile"
160,32,"ARG","Argentina"
165,858,"URU","Uruguay"
200,826,"UKG","United Kingdom"
205,372,"IRE","Ireland"
210,528,"NTH","Netherlands"
211,56,"BEL","Belgium"
212,442,"LUX","Luxembourg"
220,250,"FRN","France"
221,492,"MNC","Monaco"
223,438,"LIE","Liechtenstein"
225,748,"SWZ","Switzerland"
230,724,"SPN","Spain"
232,20,"AND","Andorra"
235,620,"POR","Portugal"
240,0,"HAN","Hanover"
245,0,"BAV","Bavaria"
255,276,"GMY","Germany"
260,0,"GFR","German Federal Republic"
265,0,"GDR","German Democratic Republic"
267,0,"BAD","Baden"
269,0,"SAX","Saxony"
271,0,"WRT","Wuerttemburg"
273,0,"HSE","Hesse Electoral"
275,0,"HSG","Hesse Grand Ducal"
280,0,"MEC","Mecklenburg Schwerin"
290,616,"POL","Poland"
300,0,"AUH","Austria-Hungary"
305,36,"AUS","Austria"
310,348,"HUN","Hungary"
315,203,"CZE","Czechoslovakia"
316,203,"CZR","Czech Republic"
317,703,"SLO","Slovakia"
325,380,"ITA","Italy"
327,0,"PAP","Papal States"
329,0,"SIC","Two Sicilies"
331,674,"SNM","San Marino"
332,0,"MOD","Modena"
335,0,"PMA","Parma"
337,0,"TUS","Tuscany"
338,470,"MLT","Malta"
339,8,"ALB","Albania"
341,496,"MNG","Montenegro"
343,446,"MAC","Macedonia"
344,191,"CRO","Croatia"
345,0,"YUG","Yugoslavia"
346,70,"BOS","Bosnia and Herzegovina"
347,0,"KOS","Kosovo"
349,222,"SLV","Slovenia"
350,300,"GRC","Greece"
352,196,"CYP","Cyprus"
355,100,"BUL","Bulgaria"
359,498,"MLD","Moldova"
360,642,"ROM","Romania"
365,643,"RUS","Russia"
366,233,"EST","Estonia"
367,428,"LAT","Latvia"
368,440,"LIT","Lithuania"
369,804,"UKR","Ukraine"
370,112,"BLR","Belarus"
371,51,"ARM","Armenia"
372,268,"GRG","Georgia"
373,31,"AZE","Azerbaijan"
375,246,"FIN","Finland"
380,752,"SWD","Sweden"
385,578,"NOR","Norway"
390,208,"DEN","Denmark"
395,352,"ICE","Iceland"
402,132,"CAP","Cape Verde"
403,678,"STP","Sao Tome and Principe"
404,624,"GNB","Guinea-Bissau"
411,226,"EQG","Equatorial Guinea"
420,0,"GAM","Gambia"
432,466,"MLI","Mali"
433,686,"SEN","Senegal"
434,204,"BEN","Benin"
435,478,"MAA","Mauritania"
436,562,"NIR","Niger"
437,0,"CDI","Ivory Coast"
438,324,"GUI","Guinea"
439,854,"BFO","Burkina Faso"
450,430,"LBR","Liberia"
451,694,"SIE","Sierra Leone"
452,288,"GHA","Ghana"
461,768,"TOG","Togo"
471,120,"CAO","Cameroon"
475,566,"NIG","Nigeria"
481,266,"GAB","Gabon"
482,140,"CEN","Central African Republic"
483,148,"CHA","Chad"
484,0,"CON","Congo"
490,180,"DRC","Democratic Republic of the Congo"
500,800,"UGA","Uganda"
501,404,"KEN","Kenya"
510,834,"TAZ","Tanzania"
511,0,"ZAN","Zanzibar"
516,108,"BUI","Burundi"
517,646,"RWA","Rwanda"
520,706,"SOM","Somalia"
522,262,"DJI","Djibouti"
530,231,"ETH","Ethiopia"
531,232,"ERI","Eritrea"
540,24,"ANG","Angola"
541,508,"MZM","Mozambique"
551,894,"ZAM","Zambia"
552,716,"ZIM","Zimbabwe"
553,454,"MAW","Malawi"
560,710,"SAF","South Africa"
565,516,"NAM","Namibia"
570,426,"LES","Lesotho"
571,72,"BOT","Botswana"
572,748,"SWA","Swaziland"
580,450,"MAG","Madagascar"
581,174,"COM","Comoros"
590,480,"MAS","Mauritius"
591,690,"SEY","Seychelles"
600,504,"MOR","Morocco"
615,12,"ALG","Algeria"
616,788,"TUN","Tunisia"
620,434,"LIB","Libya"
625,736,"SUD","Sudan"
626,0,"SSD","South Sudan"
630,364,"IRN","Iran"
640,792,"TUR","Turkey"
645,368,"IRQ","Iraq"
651,818,"EGY","Egypt"
652,760,"SYR","Syria"
660,422,"LEB","Lebanon"
663,400,"JOR","Jordan"
666,376,"ISR","Israel"
670,682,"SAU","Saudi Arabia"
678,0,"YAR","Yemen Arab Republic"
679,887,"YEM","Yemen"
680,0,"YPR","Yemen People's Republic"
690,414,"KUW","Kuwait"
692,48,"BAH","Bahrain"
694,634,"QAT","Qatar"
696,784,"UAE","United Arab Emirates"
698,512,"OMA","Oman"
700,4,"AFG","Afghanistan"
701,795,"TKM","Turkmenistan"
702,762,"TAJ","Tajikistan"
703,417,"KYR","Kyrgyzstan"
704,860,"UZB","Uzbekistan"
705,398,"KZK","Kazakhstan"
710,156,"CHN","China"
712,496,"MON","Mongolia"
713,0,"TAW","Taiwan"
730,410,"KOR","Korea"
731,408,"PRK","North Korea"
732,0,"ROK","South Korea"
740,392,"JPN","Japan"
750,356,"IND","India"
760,64,"BHU","Bhutan"
770,586,"PAK","Pakistan"
771,50,"BNG","Bangladesh"
775,0,"MYA","Myanmar"
780,144,"SRI","Sri Lanka"
781,462,"MAD","Maldives"
790,524,"NEP","Nepal"
800,764,"THI","Thailand"
811,116,"CAM","Cambodia"
812,418,"LAO","Laos"
816,704,"DRV","Vietnam"
817,0,"RVN","Republic of Vietnam"
820,458,"MAL","Malaysia"
830,702,"SIN","Singapore"
835,96,"BRU","Brunei"
840,608,"PHI","Philippines"
850,360,"INS","Indonesia"
860,0,"ETM","East Timor"
900,36,"AUL","Australia"
910,598,"PNG","Papua New Guinea"
920,554,"NEW","New Zealand"
935,548,"VAN","Vanuatu"
940,90,"SOL","Solomon Islands"
946,296,"KIR","Kiribati"
947,798,"TUV","Tuvalu"
950,242,"FIJ","Fiji"
955,776,"TON","Tonga"
970,520,"NAU","Nauru"
983,584,"MSI","Marshall Islands"
986,585,"PAL","Palau"
987,583,"FSM","Federated States of Micronesia"
990,882,"WSM","Samoa"
